id,city_area,city_name,state_name,country_name,zipcode,created_by
283,Kundal,Ahmedabad,Gujarat,India,382450,1
284,Kundal,Ahmedabad,Gujarat,India,382110,1
285,Kundli,Ahmedabad,Gujarat,India,382245,1
286,Kunpur,Ahmedabad,Gujarat,India,382130,1
287,Kunvar,Ahmedabad,Gujarat,India,382110,1
288,L G Hospital,Ahmedabad,Gujarat,India,380008,1
289,Lal Darwaja,Ahmedabad,Gujarat,India,380001,1
290,Lambha,Ahmedabad,Gujarat,India,382405,1
291,Lapkaman,Ahmedabad,Gujarat,India,382210,1
292,Limbadia,Ahmedabad,Gujarat,India,382330,1
293,Loliya,Ahmedabad,Gujarat,India,382465,1
294,Lothal,Ahmedabad,Gujarat,India,382230,1
295,Lothal Bhurkhi RS,Ahmedabad,Gujarat,India,382230,1
296,M D Marg,Ahmedabad,Gujarat,India,380022,1
297,Madhupura Market,Ahmedabad,Gujarat,India,380004,1
298,Madrisana,Ahmedabad,Gujarat,India,382145,1
299,Mahijada,Ahmedabad,Gujarat,India,382425,1
300,Makarba,Ahmedabad,Gujarat,India,380051,1
301,Makhiav,Ahmedabad,Gujarat,India,382110,1
302,Mandal,Ahmedabad,Gujarat,India,382130,1
303,Mandvi,Ahmedabad,Gujarat,India,382430,1
304,Manek Chowk,Ahmedabad,Gujarat,India,380001,1
305,Manekbag,Ahmedabad,Gujarat,India,380015,1
306,Maninagar,Ahmedabad,Gujarat,India,380008,1
307,Manipur,Ahmedabad,Gujarat,India,382150,1
308,Mankol,Ahmedabad,Gujarat,India,382110,1
309,Marusana,Ahmedabad,Gujarat,India,382120,1
310,Matoda,Ahmedabad,Gujarat,India,382213,1
311,Medra,Ahmedabad,Gujarat,India,382330,1
312,Meghani Nagar,Ahmedabad,Gujarat,India,380016,1
313,Meghaningar,Ahmedabad,Gujarat,India,380016,1
314,Melaj,Ahmedabad,Gujarat,India,382150,1
315,Memnagar,Ahmedabad,Gujarat,India,380052,1
316,Mingalpur,Ahmedabad,Gujarat,India,382455,1
317,Miroli,Ahmedabad,Gujarat,India,382425,1
318,Mirzapur,Ahmedabad,Gujarat,India,380001,1
319,Mithapur,Ahmedabad,Gujarat,India,382230,1
320,Modasar,Ahmedabad,Gujarat,India,382220,1
321,Moraiya,Ahmedabad,Gujarat,India,382213,1
322,Mota Tradia,Ahmedabad,Gujarat,India,382460,1
323,Motera,Ahmedabad,Gujarat,India,380005,1
324,Moti Boru,Ahmedabad,Gujarat,India,382230,1
325,Moti Kishol,Ahmedabad,Gujarat,India,382110,1
326,Moti Rantai,Ahmedabad,Gujarat,India,382145,1
327,Moti Vavdi,Ahmedabad,Gujarat,India,382255,1
328,Muktipur,Ahmedabad,Gujarat,India,382425,1
329,Municipal Corporation,Ahmedabad,Gujarat,India,380001,1
330,N C Market,Ahmedabad,Gujarat,India,380002,1
331,N C Mills,Ahmedabad,Gujarat,India,382345,1
332,Nadishala,Ahmedabad,Gujarat,India,382120,1
333,Nana Chiloda,Ahmedabad,Gujarat,India,382330,1
334,Nana Ubhada,Ahmedabad,Gujarat,India,382130,1
335,Nandej,Ahmedabad,Gujarat,India,382435,1
336,Nani Boru,Ahmedabad,Gujarat,India,382230,1
337,Nani Devti,Ahmedabad,Gujarat,India,382220,1
338,Nani Vavdi,Ahmedabad,Gujarat,India,382245,1
339,Nanodara,Ahmedabad,Gujarat,India,382220,1
340,Naranpura,Ahmedabad,Gujarat,India,380013,1
341,Naranpura Vistar,Ahmedabad,Gujarat,India,380013,1
342,Narayannagar,Ahmedabad,Gujarat,India,380007,1
343,Naroda,Ahmedabad,Gujarat,India,382330,1
344,Naroda GIDC,Ahmedabad,Gujarat,India,382330,1
345,Naroda I E,Ahmedabad,Gujarat,India,382330,1
346,Naroda Road,Ahmedabad,Gujarat,India,382345,1
347,Naroda S A,Ahmedabad,Gujarat,India,382330,1
348,Narol,Ahmedabad,Gujarat,India,382405,1
349,Nava Naroda,Ahmedabad,Gujarat,India,382330,1
350,Nava Vadaj,Ahmedabad,Gujarat,India,380013,1
351,Navagam,Ahmedabad,Gujarat,India,382130,1
352,Navapura,Ahmedabad,Gujarat,India,382210,1
353,Navda,Ahmedabad,Gujarat,India,382450,1
354,Navi Ranip,Ahmedabad,Gujarat,India,382480,1
355,Navjivan,Ahmedabad,Gujarat,India,380014,1
356,Navrangpura,Ahmedabad,Gujarat,India,380009,1
357,Nayakpur,Ahmedabad,Gujarat,India,382130,1
358,Nedharad,Ahmedabad,Gujarat,India,382115,1
359,Nesda,Ahmedabad,Gujarat,India,382225,1
360,Nikol,Ahmedabad,Gujarat,India,382350,1
361,Nirnaynagar,Ahmedabad,Gujarat,India,382481,1
362,Noblenagar,Ahmedabad,Gujarat,India,382340,1
363,O N G C,Ahmedabad,Gujarat,India,380005,1
364,Ode,Ahmedabad,Gujarat,India,382427,1
365,Odhav,Ahmedabad,Gujarat,India,382415,1
