id,city_area,city_name,state_name,country_name,zipcode,created_by
303,Marusana,Ahmedabad,Gujarat,India,382120,1
304,Matoda,Ahmedabad,Gujarat,India,382213,1
305,Medra,Ahmedabad,Gujarat,India,382330,1
306,Meghani Nagar,Ahmedabad,Gujarat,India,380016,1
307,Meghaningar,Ahmedabad,Gujarat,India,380016,1
308,Melaj,Ahmedabad,Gujarat,India,382150,1
309,Memnagar,Ahmedabad,Gujarat,India,380052,1
310,Mingalpur,Ahmedabad,Gujarat,India,382455,1
311,Miroli,Ahmedabad,Gujarat,India,382425,1
312,Mirzapur,Ahmedabad,Gujarat,India,380001,1
313,Mithapur,Ahmedabad,Gujarat,India,382230,1
314,Modasar,Ahmedabad,Gujarat,India,382220,1
315,Moraiya,Ahmedabad,Gujarat,India,382213,1
316,Mota Tradia,Ahmedabad,Gujarat,India,382460,1
317,Motera,Ahmedabad,Gujarat,India,380005,1
318,Moti Boru,Ahmedabad,Gujarat,India,382230,1
319,Moti Kishol,Ahmedabad,Gujarat,India,382110,1
320,Moti Rantai,Ahmedabad,Gujarat,India,382145,1
321,Moti Vavdi,Ahmedabad,Gujarat,India,382255,1
322,Muktipur,Ahmedabad,Gujarat,India,382425,1
323,Municipal Corporation,Ahmedabad,Gujarat,India,380001,1
324,N C Market,Ahmedabad,Gujarat,India,380002,1
325,N C Mills,Ahmedabad,Gujarat,India,382345,1
326,Nadishala,Ahmedabad,Gujarat,India,382120,1
327,Nana Chiloda,Ahmedabad,Gujarat,India,382330,1
328,Nana Ubhada,Ahmedabad,Gujarat,India,382130,1
329,Nandej,Ahmedabad,Gujarat,India,382435,1
330,Nani Boru,Ahmedabad,Gujarat,India,382230,1
331,Nani Devti,Ahmedabad,Gujarat,India,382220,1
332,Nani Vavdi,Ahmedabad,Gujarat,India,382245,1
333,Nanodara,Ahmedabad,Gujarat,India,382220,1
334,Naranpura,Ahmedabad,Gujarat,India,380013,1
335,Naranpura Vistar,Ahmedabad,Gujarat,India,380013,1
336,Narayannagar,Ahmedabad,Gujarat,India,380007,1
337,Naroda,Ahmedabad,Gujarat,India,382330,1
338,Naroda GIDC,Ahmedabad,Gujarat,India,382330,1
