parent_code,parent_name,domain_code,domain_name,parent_question_count,domain_question_count,combined_question_count,interest,aptitude,personality,work_style,status
SCI_TECH,Science Technology & Engineering,MATH_STATS,Mathematics & Statistics,12,12,12,3,3,3,3,GOOD
SCI_TECH,Science Technology & Engineering,MECHANICAL_ENG,Mechanical Engineering,12,12,12,3,3,3,3,GOOD
SCI_TECH,Science Technology & Engineering,pure_sciences,Pure Sciences,12,18,18,7,4,3,4,TOO_HIGH
SCI_TECH,Science Technology & Engineering,robotics,Robotics,12,24,24,10,7,3,4,TOO_HIGH
SCI_TECH,Science Technology & Engineering,SOFTWARE_DEV,Software Development,12,12,12,3,3,3,3,GOOD
SCI_TECH,Science Technology & Engineering,WEB_DEV,Web Development,12,12,12,3,3,3,3,GOOD
social_work,Social Work & Community Services,CHILD_FAMILY_SERVICES,Child & Family Services,16,12,12,3,3,3,3,GOOD
social_work,Social Work & Community Services,COMMUNITY_DEVELOPMENT,Community Development,16,12,12,3,3,3,3,GOOD
social_work,Social Work & Community Services,COUNSELING_SERVICES,Counseling Services,16,12,12,3,3,3,3,GOOD
social_work,Social Work & Community Services,NGO_MANAGEMENT,NGO Management,16,12,12,3,3,3,3,GOOD
social_work,Social Work & Community Services,RURAL_DEVELOPMENT,Rural Development,16,12,12,3,3,3,3,GOOD
social_work,Social Work & Community Services,SOCIAL_WORK_FIELD,Social Work,16,12,12,3,3,3,3,GOOD
SPORTS_FITNESS,Sports & Fitness,ATHLETIC_TRAINING,Athletic Training,12,12,12,3,3,3,3,GOOD
SPORTS_FITNESS,Sports & Fitness,FITNESS_TRAINING,Fitness Training,12,12,12,3,3,3,3,GOOD
SPORTS_FITNESS,Sports & Fitness,NUTRITION_WELLNESS,Nutrition & Wellness,12,12,12,3,3,3,3,GOOD
SPORTS_FITNESS,Sports & Fitness,physical_education,Physical Education,12,14,14,5,3,3,3,TOO_HIGH
SPORTS_FITNESS,Sports & Fitness,sports_coaching,Sports Coaching,12,14,14,5,3,3,3,TOO_HIGH
SPORTS_FITNESS,Sports & Fitness,SPORTS_MANAGEMENT,Sports Management,12,12,12,3,3,3,3,GOOD
SPORTS_FITNESS,Sports & Fitness,SPORTS_MEDICINE,Sports Medicine,12,12,12,3,3,3,3,GOOD
SPORTS_FITNESS,Sports & Fitness,YOGA_WELLNESS,Yoga & Wellness,12,12,12,3,3,3,3,GOOD
TRANSPORT_LOG,Transportation & Logistics,AVIATION,Aviation,12,12,12,3,3,3,3,GOOD
TRANSPORT_LOG,Transportation & Logistics,LOGISTICS,Logistics,12,12,12,3,3,3,3,GOOD
TRANSPORT_LOG,Transportation & Logistics,MARITIME_TRANSPORT,Maritime Transport,12,12,12,3,3,3,3,GOOD
TRANSPORT_LOG,Transportation & Logistics,RAIL_TRANSPORT,Rail Transport,12,12,12,3,3,3,3,GOOD
TRANSPORT_LOG,Transportation & Logistics,supply_chain,Supply Chain Management,12,15,15,5,4,3,3,TOO_HIGH
TRANSPORT_LOG,Transportation & Logistics,TRANSPORTATION_MANAGEMENT,Transportation Management,12,12,12,3,3,3,3,GOOD
TRANSPORT_LOG,Transportation & Logistics,WAREHOUSING,Warehousing,12,12,12,3,3,3,3,GOOD
TRAVEL_HOSP,Travel & Hospitality,AIRLINE_SERVICES,Airline Services,12,12,12,3,3,3,3,GOOD
TRAVEL_HOSP,Travel & Hospitality,CULINARY_ARTS,Culinary Arts,12,12,12,3,3,3,3,GOOD
TRAVEL_HOSP,Travel & Hospitality,EVENT_MANAGEMENT,Event Management,12,12,12,3,3,3,3,GOOD
TRAVEL_HOSP,Travel & Hospitality,HOSPITALITY_OPERATIONS,Hospitality Operations,12,12,12,3,3,3,3,GOOD
TRAVEL_HOSP,Travel & Hospitality,hotel_management,Hotel Management,12,15,15,6,3,3,3,TOO_HIGH
TRAVEL_HOSP,Travel & Hospitality,TOURISM_MANAGEMENT,Tourism Management,12,12,12,3,3,3,3,GOOD
TRAVEL_HOSP,Travel & Hospitality,TRAVEL_SERVICES,Travel Services,12,12,12,3,3,3,3,GOOD
